ano,id_escola,ideb,ensino,rede,nota_saeb_matematica,nota_saeb_lingua_portuguesa
2021,35041051,,fundamental,estadual,,
2021,35041051,,medio,estadual,,
2005,35041683,,fundamental,estadual,,
2005,35041695,,fundamental,estadual,,
2023,35041695,,fundamental,estadual,,
2017,35041737,,medio,estadual,,
2019,35041750,,medio,estadual,,
2023,35041762,,fundamental,estadual,,
2017,35041762,,medio,estadual,,
2021,35041774,,medio,estadual,,
2005,35041786,,fundamental,estadual,,
2023,35041786,,medio,estadual,,
2021,35041798,,medio,estadual,,
2017,35041798,,fundamental,estadual,,
2017,35041804,,medio,estadual,,
2015,35041804,,fundamental,estadual,,
2017,35043734,,fundamental,estadual,,
2005,35043746,,fundamental,estadual,,
2021,35043746,,medio,estadual,,
2019,35043761,,fundamental,estadual,,
2007,35043771,,fundamental,estadual,,
2013,35043771,,fundamental,estadual,,
2019,35043771,,fundamental,estadual,,
2023,35043771,,fundamental,estadual,,
2019,35043928,,medio,estadual,,
2021,35043928,,medio,estadual,,
2017,35043928,,medio,estadual,,
2017,35043936,,fundamental,estadual,,
2005,35044027,,fundamental,estadual,,
2005,35044261,,fundamental,estadual,,
2005,35044271,,fundamental,estadual,,
2017,35044283,,medio,estadual,,
2017,35044301,,medio,estadual,,
2019,35044301,,medio,estadual,,
2021,35044313,,medio,estadual,,
2005,35044325,,fundamental,estadual,,
2023,35044325,,fundamental,estadual,,
2021,35044325,,medio,estadual,,
2021,35044349,,medio,estadual,,
2021,35044349,,fundamental,estadual,,
2019,35044350,,fundamental,estadual,,
2023,35044350,,fundamental,estadual,,
2005,35044374,,fundamental,estadual,,
2017,35044374,,fundamental,estadual,,
2005,35044386,,fundamental,estadual,,
2009,35044386,,fundamental,estadual,,
2021,35044386,,fundamental,estadual,,
2005,35044386,,fundamental,estadual,,
2009,35044416,,fundamental,estadual,,
2017,35044441,,medio,estadual,,
2021,35044453,,medio,estadual,,
2013,35044453,,fundamental,estadual,,
2013,35044465,,fundamental,estadual,,
2017,35044465,,fundamental,estadual,,
2015,35046059,,fundamental,estadual,,
2017,35046059,,fundamental,estadual,,
2023,35046061,,fundamental,estadual,,
2005,35046061,,fundamental,estadual,,
2017,35046061,,fundamental,estadual,,
2007,35046243,,fundamental,estadual,,
2021,35046243,,fundamental,estadual,,
2021,35046243,,fundamental,estadual,,
2021,35046243,,medio,estadual,,
2005,35046255,,fundamental,estadual,,
2005,35046279,,fundamental,estadual,,
2013,35046309,,fundamental,estadual,,
2005,35046309,,fundamental,estadual,,
2017,35046309,,fundamental,estadual,,
2019,35046310,,fundamental,estadual,,
2017,35046334,,medio,estadual,,
2005,35046334,,fundamental,estadual,,
2013,35046334,,fundamental,estadual,,
2017,35046346,,fundamental,estadual,,
2019,35046358,,medio,estadual,,
2021,35046358,,medio,estadual,,
2005,35046361,,fundamental,estadual,,
2023,35048604,,fundamental,estadual,,
2005,35048616,,fundamental,estadual,,
2005,35048628,,fundamental,estadual,,
2019,35048636,,medio,estadual,,
2021,35048653,,medio,estadual,,
2023,35048653,,fundamental,estadual,,
2005,35048653,,fundamental,estadual,,
2005,35048665,,fundamental,estadual,,
2005,35048707,,fundamental,estadual,,
2023,35048719,,medio,estadual,,
2021,35048719,,medio,estadual,,
2017,35048719,,fundamental,estadual,,
2017,35048720,,medio,estadual,,
2023,35048732,,fundamental,estadual,,
2013,35048732,,fundamental,estadual,,
2005,35048744,,fundamental,estadual,,
2023,35053016,,fundamental,municipal,,
2017,35053077,,fundamental,municipal,,
2021,35053077,,fundamental,municipal,,
2023,35053089,,fundamental,municipal,,
2019,35053089,,fundamental,municipal,,
2023,35053107,,fundamental,municipal,,
2021,35053107,,fundamental,municipal,,
2017,35053119,,fundamental,municipal,,
2021,35053119,,fundamental,municipal,,
2021,35053120,,fundamental,municipal,,
2023,35053144,,fundamental,municipal,,
2019,35053144,,fundamental,municipal,,
2017,35053168,,fundamental,municipal,,
2005,35053168,,fundamental,municipal,,
2023,35053193,,fundamental,municipal,,
2017,35053200,,fundamental,municipal,,
2013,35053211,,fundamental,municipal,,
2013,35053223,,fundamental,municipal,,
2013,35053247,,fundamental,municipal,,
2023,35053247,,fundamental,municipal,,
2017,35053260,,fundamental,municipal,,
2021,35053284,,fundamental,municipal,,
2013,35053284,,fundamental,municipal,,
2013,35053302,,fundamental,municipal,,
2013,35053326,,fundamental,municipal,,
2023,35053326,,fundamental,municipal,,
2021,35053348,,fundamental,municipal,,
2017,35053348,,fundamental,municipal,,
2021,35053351,,fundamental,municipal,,
2021,35053351,,fundamental,municipal,,
2013,35053351,,fundamental,municipal,,
2021,35053363,,fundamental,municipal,,
2021,35053363,,fundamental,municipal,,
2013,35053375,,fundamental,municipal,,
2013,35053387,,fundamental,municipal,,
2017,35053399,,fundamental,municipal,,
2023,35053399,,fundamental,municipal,,
2021,35053430,,fundamental,municipal,,
2019,35053430,,fundamental,municipal,,
2021,35053454,,fundamental,municipal,,
2013,35053454,,fundamental,municipal,,
2021,35053454,,fundamental,municipal,,
2013,35053466,,fundamental,municipal,,
2021,35053466,,fundamental,municipal,,
2021,35053485,,fundamental,municipal,,
2017,35053485,,fundamental,municipal,,
2017,35053491,,fundamental,municipal,,
2017,35053512,,fundamental,municipal,,
2021,35053512,,fundamental,municipal,,
2017,35053521,,fundamental,municipal,,
2013,35053521,,fundamental,municipal,,
2021,35053533,,fundamental,municipal,,
2013,35053533,,fundamental,municipal,,
2017,35053545,,fundamental,municipal,,
2013,35053545,,fundamental,municipal,,
2017,35053557,,fundamental,municipal,,
2023,35053557,,fundamental,municipal,,
2017,35053570,,fundamental,municipal,,
2017,35053582,,fundamental,municipal,,
2023,35053582,,fundamental,municipal,,
2017,35053594,,fundamental,municipal,,
2017,35053600,,fundamental,municipal,,
2023,35053612,,fundamental,municipal,,
2021,35053612,,fundamental,municipal,,
2021,35053648,,fundamental,municipal,,
2013,35053659,,fundamental,municipal,,
2011,35053661,,fundamental,municipal,,
2017,35053661,,fundamental,municipal,,
2013,35053673,,fundamental,municipal,,
2023,35053685,,fundamental,municipal,,
2013,35053685,,fundamental,municipal,,
2013,35053697,,fundamental,municipal,,
2023,35053703,,fundamental,municipal,,
2013,35053727,,fundamental,municipal,,
2017,35053727,,fundamental,municipal,,
2023,35053740,,fundamental,municipal,,
2023,35053740,,fundamental,municipal,,
2017,35053752,,fundamental,municipal,,
2017,35053776,,fundamental,municipal,,
2023,35053776,,fundamental,municipal,,
2017,35053797,,fundamental,municipal,,
2021,35053797,,fundamental,municipal,,
2013,35053806,,fundamental,municipal,,
2017,35053824,,fundamental,municipal,,
2021,35053843,,fundamental,municipal,,
2019,35053855,,fundamental,municipal,,
2021,35053867,,fundamental,municipal,,
2017,35053867,,fundamental,municipal,,
2021,35053892,,fundamental,municipal,,
2013,35053909,,fundamental,municipal,,
2017,35053934,,fundamental,municipal,,
2021,35053946,,fundamental,municipal,,
2017,35053983,,fundamental,municipal,,
2017,35053995,,fundamental,municipal,,
2021,35054008,,fundamental,municipal,,
2017,35054021,,fundamental,municipal,,
2021,35054021,,fundamental,municipal,,
2013,35054021,,fundamental,municipal,,
2017,35054045,,fundamental,municipal,,
2019,35054057,,fundamental,municipal,,
2013,35054057,,fundamental,municipal,,
2013,35054100,,fundamental,municipal,,
2021,35054100,,fundamental,municipal,,
2023,35054124,,fundamental,municipal,,
2017,35054124,,fundamental,municipal,,
2017,35054136,,fundamental,municipal,,
2021,35054148,,fundamental,municipal,,
2013,35054148,,fundamental,municipal,,
2017,35054159,,fundamental,municipal,,
2021,35054159,,fundamental,municipal,,
2013,35054161,,fundamental,municipal,,
2017,35054173,,fundamental,municipal,,
2023,35054203,,fundamental,municipal,,
2013,35054203,,fundamental,municipal,,
2023,35054215,,fundamental,municipal,,
2013,35054239,,fundamental,municipal,,
2013,35054240,,fundamental,municipal,,
2017,35054252,,fundamental,municipal,,
2021,35054252,,fundamental,municipal,,
2021,35054264,,fundamental,municipal,,
2021,35054276,,fundamental,municipal,,
2013,35054288,,fundamental,municipal,,
2021,35054297,,fundamental,municipal,,
2023,35054306,,fundamental,municipal,,
2013,35054306,,fundamental,municipal,,
2017,35054306,,fundamental,municipal,,
2021,35054306,,fundamental,municipal,,
2017,35054306,,fundamental,municipal,,
2017,35054318,,fundamental,municipal,,
2017,35054331,,fundamental,municipal,,
2013,35054331,,fundamental,municipal,,
2021,35054343,,fundamental,municipal,,
